Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
17:43:09,647.4,613.8,496.4,486.4,437.8,260.5,0,0,0,0.001,0.004,0.022,0.079,0.226,0.537,1.109,2.045,3.432,5.324,7.729,10.596,13.825,17.269,20.759,24.116,27.172,29.784,31.842,33.278,34.066,34.216,33.77,32.797,31.378,29.607,27.577,25.377,23.091,20.789,18.531,16.364,14.323,12.433,10.707,9.152,7.768,647.4,1.9564878E-8,1.32949922E-7,50.81,984.26,24.98,2.57714,0.754286,0.36,0.137143,0.177143,0.0457143,0.00571429,0.0114286,0.0171429,0.00571429,0,0.0114286,9.2581e-07,1.04067e-06,2.38586e-06,37.503
17:46:29,832,703.5,587,513.5,445.5,409.4,0.002,0.1,0.866,3.354,8.423,16.166,25.864,36.288,46.115,54.24,59.96,62.996,63.434,61.618,58.036,53.218,47.67,41.826,36.03,30.529,25.488,20.996,17.085,13.749,10.952,8.642,6.761,5.246,4.041,3.091,2.349,1.775,1.333,0.996,0.74,0.548,0.403,0.296,0.216,0.157,832,1.3934342E-8,7.1889182E-8,47.4,984.24,25.24,5.42286,1.16,0.457143,0.205714,0.0914286,0.08,0.0571429,0.0171429,0.0114286,0.00571429,0,0.0171429,3.35567e-07,8.17745e-07,2.03366e-06,20.3425
17:49:49,1000,962.7,910.7,865.5,655.8,640.7,0,0,0,0,0,0.003,0.017,0.063,0.189,0.476,1.044,2.043,3.629,5.939,9.063,13.009,17.702,22.976,28.593,34.269,39.7,44.602,48.728,51.893,53.986,54.966,54.861,53.757,51.781,49.089,45.849,42.231,38.394,34.479,30.609,26.878,23.361,20.107,17.148,14.497,1000,1.8671637E-8,1.39703744E-7,44.86,984.29,24.95,7.56,1.10286,0.491429,0.222857,0.24,0.0857143,0.0742857,0.0342857,0.0228571,0.0342857,0,0.0171429,1.56111e-06,2.15562e-06,7.17254e-06,66.3289
17:53:10,1154,956.8,873.7,865.8,816.5,721.5,0.037,0.911,4.769,13.086,25.506,40.298,55.264,68.45,78.524,84.851,87.394,86.546,82.942,77.311,70.367,62.738,54.934,47.338,40.219,33.738,27.981,22.967,18.675,15.055,12.041,9.561,7.542,5.912,4.608,3.572,2.755,2.115,1.617,1.231,0.933,0.705,0.531,0.399,0.298,0.222,1154,1.429737E-8,6.6193984E-8,47.21,984.2,24.83,7.76,1.28,0.445714,0.234286,0.182857,0.08,0.04,0.00571429,0.0342857,0.0171429,0,0.0228571,4.14991e-07,7.94927e-07,3.94489e-06,26.025
17:56:30,790.1,719.4,574.2,541,524,506.1,0,0,0.013,0.123,0.612,2.002,4.92,9.826,16.769,25.301,34.578,43.567,51.288,57,60.292,61.096,59.628,56.296,51.604,46.069,40.161,34.264,28.666,23.557,19.044,15.165,11.909,9.232,7.071,5.356,4.015,2.98,2.192,1.599,1.157,0.83,0.592,0.419,0.295,0.206,790.1,1.3437414E-8,8.534954E-8,45.51,984.29,25.32,6.96571,1.15429,0.451429,0.217143,0.0971429,0.0685714,0.0171429,0.0171429,0.0114286,0,0,0.0228571,4.3988e-07,6.63298e-07,1.23294e-06,23.4389
17:59:50,1158,1008,771.7,742.8,606.4,600.1,0,0,0.005,0.071,0.449,1.752,4.943,11.001,20.454,33.031,47.621,62.547,75.997,86.436,92.888,95.027,93.11,87.823,80.075,70.829,60.962,51.188,42.025,33.8,26.678,20.694,15.798,11.883,8.815,6.457,4.673,3.344,2.368,1.661,1.154,0.795,0.543,0.368,0.247,0.165,1158,1.2599232E-8,8.5207346E-8,46.59,984.31,24.95,5.46286,1.00571,0.44,0.142857,0.182857,0.0685714,0.0571429,0.0114286,0.0228571,0.00571429,0,0.0228571,6.08965e-07,1.07095e-06,2.60762e-06,34.5532
18:03:10,1681,973.8,798.5,538,502.4,498.8,2.597,19.348,48.254,79.816,107.032,126.416,137.141,139.987,136.502,128.446,117.467,104.945,91.95,79.247,67.34,56.525,46.941,38.614,31.499,25.501,20.506,16.389,13.025,10.299,8.106,6.353,4.959,3.856,2.989,2.309,1.779,1.366,1.047,0.8,0.61,0.464,0.353,0.267,0.202,0.153,1681,1.3637807E-8,5.163044E-8,47.56,984.25,24.77,5.36,1.25143,0.588571,0.302857,0.108571,0.0685714,0.0457143,0.0171429,0.04,0,0,0.0171429,3.59341e-07,7.53162e-07,2.28025e-06,23.971
18:06:30,766,645.2,610,544.2,492,491.4,0.022,0.563,3.016,8.403,16.556,26.365,36.368,45.245,52.077,56.411,58.205,57.709,55.346,51.606,46.969,41.864,36.635,31.544,26.772,22.432,18.578,15.226,12.36,9.946,7.94,6.293,4.953,3.874,3.013,2.33,1.793,1.373,1.047,0.795,0.601,0.453,0.34,0.255,0.19,0.141,766,1.4222406E-8,6.6234264E-8,48.36,984.32,24.65,4.92,0.897143,0.4,0.165714,0.131429,0.0628571,0.00571429,0.0114286,0.00571429,0.00571429,0,0.0285714,2.83146e-07,4.28304e-07,1.39051e-06,15.7821
18:09:50,1040,676.8,634,561.2,548.1,544,17.839,49.699,71.745,84.016,88.699,88.01,83.792,77.455,70.031,62.237,54.553,47.282,40.597,34.581,29.256,24.606,20.587,17.147,14.224,11.756,9.685,7.955,6.516,5.325,4.342,3.532,2.869,2.325,1.882,1.521,1.227,0.989,0.796,0.64,0.514,0.412,0.33,0.264,0.212,0.169,1040,1.4633047E-8,4.3850288E-8,48.17,984.27,25.18,6.09143,1.03429,0.52,0.16,0.0857143,0.0685714,0.0171429,0.0114286,0.0114286,0.00571429,0,0.0342857,2.03784e-07,4.27202e-07,1.5809e-06,12.7355
18:13:10,1023,730,650.4,606.2,483.7,449.8,0.378,4.271,13.845,27.503,42.403,56.035,66.771,73.872,77.294,77.432,74.915,70.441,64.677,58.201,51.476,44.851,38.57,32.787,27.585,22.997,19.013,15.602,12.715,10.299,8.294,6.645,5.297,4.204,3.323,2.616,2.052,1.604,1.25,0.972,0.753,0.582,0.448,0.345,0.265,0.203,1023,1.4651454E-8,5.975967E-8,45.83,984.28,25.59,7.16,1.33143,0.474286,0.234286,0.16,0.0914286,0.0285714,0.0285714,0.04,0.0171429,0,0.0342857,3.27856e-07,6.59827e-07,4.25017e-06,21.8887
