Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
01:47:52,263.7,252,251.4,233.5,232.5,215.1,0.001,0.023,0.135,0.42,0.934,1.694,2.679,3.837,5.101,6.399,7.66,8.827,9.851,10.702,11.359,11.817,12.079,12.156,12.066,11.829,11.469,11.008,10.469,9.873,9.24,8.587,7.929,7.276,6.64,6.028,5.446,4.898,4.386,3.912,3.476,3.077,2.716,2.389,2.095,1.832,263.7,2.3567345E-8,1.08007434E-7,54.34,984.31,25.59,3.80571,0.845714,0.377143,0.24,0.188571,0.0742857,0.0628571,0.0285714,0.0285714,0.0114286,0,0.0114286,3.26219e-07,8.3238e-07,3.39348e-06,15.9104
01:51:13,320,253.5,241.8,228.2,211,205.2,7.586,16.619,21.602,23.993,24.663,24.207,23.041,21.454,19.65,17.77,15.905,14.118,12.444,10.903,9.506,8.251,7.134,6.148,5.282,4.525,3.868,3.299,2.808,2.386,2.023,1.714,1.449,1.224,1.032,0.87,0.732,0.616,0.517,0.434,0.364,0.305,0.255,0.214,0.179,0.149,320,1.707472E-8,4.7385534E-8,54.4,984.31,25.65,5.50857,1.11429,0.577143,0.382857,0.354286,0.0742857,0.0685714,0.0628571,0.0514286,0.00571429,0.00571429,0.04,2.39988e-07,7.8023e-07,5.67181e-06,12.9093
01:54:33,244.7,191.4,187,165,161.7,161.1,0.538,3.013,6.52,10.032,12.989,15.156,16.495,17.08,17.036,16.505,15.622,14.507,13.258,11.955,10.656,9.404,8.226,7.141,6.156,5.274,4.494,3.81,3.216,2.702,2.263,1.888,1.57,1.302,1.076,0.887,0.73,0.599,0.491,0.401,0.327,0.267,0.217,0.176,0.143,0.115,244.7,1.6608304E-8,5.8591784E-8,54.17,984.4,25.69,4.18857,1.08,0.68,0.314286,0.217143,0.0628571,0.0171429,0.0114286,0.0171429,0.00571429,0.0114286,0.0342857,1.94094e-07,4.07413e-07,5.42751e-06,10.1118
01:57:53,210.2,197.5,177.1,155.8,152.2,136.2,0,0,0.001,0.006,0.039,0.153,0.437,1,1.932,3.266,4.963,6.907,8.933,10.855,12.505,13.753,14.523,14.795,14.599,14,13.084,11.946,10.678,9.362,8.064,6.833,5.704,4.695,3.815,3.062,2.431,1.909,1.485,1.144,0.874,0.662,0.497,0.371,0.275,0.202,210.2,1.4732765E-8,9.6995138E-8,52.93,984.37,25.7,7.01143,1.20571,0.48,0.354286,0.217143,0.0514286,0.0342857,0.0171429,0.04,0.0285714,0.0171429,0.0742857,2.70859e-07,5.66225e-07,1.0837e-05,18.8245
02:01:13,696.2,530.5,516.8,499,476.4,413.8,0.005,0.178,1.214,4.016,9.019,15.947,23.989,32.123,39.401,45.13,48.929,50.714,50.626,48.955,46.065,42.331,38.102,33.674,29.28,25.092,21.222,17.738,14.666,12.008,9.743,7.84,6.26,4.963,3.909,3.06,2.382,1.844,1.42,1.089,0.831,0.632,0.478,0.361,0.271,0.203,696.2,1.4680385E-8,7.191671E-8,52.85,984.38,25.65,7.09714,1.48,0.445714,0.188571,0.177143,0.0971429,0.0457143,0.0342857,0.04,0.00571429,0.00571429,0.0342857,3.28458e-07,7.72769e-07,4.97025e-06,21.1471
