Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
10:01:56,190.2,176.5,143.1,142,130.2,107.1,0,0,0,0,0.002,0.01,0.034,0.091,0.207,0.413,0.737,1.202,1.819,2.582,3.47,4.446,5.466,6.476,7.425,8.268,8.967,9.495,9.839,9.994,9.968,9.778,9.444,8.991,8.447,7.838,7.189,6.523,5.859,5.213,4.596,4.019,3.485,3,2.564,2.177,190.2,1.9708356E-8,1.3131941E-7,48.03,982.45,25.18,2.37714,0.588571,0.308571,0.234286,0.154286,0.0971429,0.0685714,0.0514286,0.04,0.0228571,0,0.0685714,3.30643e-07,9.11276e-07,5.39679e-06,18.4152
10:05:16,243.5,220.5,217,204.4,190.1,161.7,0.005,0.086,0.367,0.919,1.743,2.791,3.988,5.251,6.501,7.672,8.713,9.588,10.277,10.772,11.079,11.206,11.173,10.997,10.702,10.31,9.841,9.316,8.752,8.166,7.572,6.98,6.4,5.839,5.302,4.795,4.318,3.874,3.464,3.087,2.742,2.429,2.146,1.89,1.661,1.457,243.5,2.3977231E-8,1.01710462E-7,47.32,982.4,25.14,3.32,1.01143,0.697143,0.217143,0.182857,0.0742857,0.0742857,0.0285714,0.0457143,0.00571429,0.00571429,0.0228571,2.95373e-07,8.69696e-07,5.19644e-06,16.2048
10:08:36,280,237.5,230.4,217.4,206.8,198.1,1.392,6.096,11.365,15.772,18.871,20.652,21.293,21.04,20.135,18.795,17.199,15.484,13.751,12.073,10.496,9.047,7.739,6.578,5.557,4.671,3.907,3.255,2.7,2.233,1.84,1.512,1.238,1.012,0.825,0.671,0.545,0.442,0.357,0.288,0.232,0.187,0.15,0.121,0.097,0.077,280,1.5586174E-8,5.2181094E-8,48.11,982.41,25.02,2.79429,0.68,0.422857,0.24,0.148571,0.102857,0.0628571,0.0342857,0.0457143,0,0,0.0228571,1.45066e-07,7.01717e-07,2.60696e-06,9.20821
10:11:56,278.1,211,206.1,205.4,203.5,195,5.682,13.98,19.096,21.74,22.621,22.306,21.222,19.682,17.907,16.051,14.217,12.47,10.85,9.375,8.053,6.882,5.855,4.962,4.19,3.527,2.961,2.479,2.071,1.726,1.436,1.193,0.989,0.818,0.677,0.559,0.461,0.379,0.312,0.256,0.211,0.173,0.142,0.116,0.095,0.078,278.1,1.5746542E-8,4.5392828E-8,48.76,982.33,24.93,2.82857,0.588571,0.302857,0.228571,0.137143,0.08,0.0685714,0.04,0.0285714,0.0114286,0,0.0171429,1.25499e-07,6.75839e-07,3.36139e-06,8.96868
